Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Tony Allen,SG,33,MEM,71,66,617,1914,13.3,0.493,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.7,1.3,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,340,107,129,33,100,178,643
2016,Al-Farouq Aminu,SF,24,POR,61,25,511,1773,11.3,0.506,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,392,108,67,50,94,102,532
2016,Chris Andersen,C,36,CLE,12,0,27,114,11.6,0.497,9,20.6,15,5.9,2.2,5,15.1,13,0.1,0.2,0.2,0.102,-3.8,3,-0.9,0,9,22,0.409,0,3,0,9,19,0.474,0.409,10,14,0.714,9,22,27,5,6,8,5,20,28
2016,Alan Anderson,SF,32,LAC,30,0,83,308,5,0.494,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0,0.1,0.1,0.02,-2.6,-2.3,-4.9,-0.2,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,21,12,3,0,7,35,86
2016,Justin Anderson,SF,21,TOT,75,10,511,1228,13.9,0.537,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-1.2,-0.3,-1.6,0.1,186,439,0.424,58,194,0.299,128,245,0.522,0.49,102,129,0.791,69,176,213,72,46,26,66,109,532
2016,Justin Anderson,SF,21,DAL,51,2,316,710,14.7,0.521,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,0.1,0.9,1,0.067,-1.8,-0.1,-2,0,111,277,0.401,37,122,0.303,74,155,0.477,0.468,70,88,0.795,39,110,130,35,31,18,40,64,329
2016,Justin Anderson,SF,21,PHI,24,8,195,518,12.8,0.564,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,0.5,0.4,0.9,0.084,-0.4,-0.6,-1,0.1,75,162,0.463,21,72,0.292,54,90,0.6,0.528,32,41,0.78,30,66,84,37,15,8,26,45,203
2016,Kyle Anderson,SG,21,SAS,72,14,236,1020,12.5,0.525,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2,2.7,0.127,-2.1,3.7,1.6,0.9,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,181,99,57,30,39,63,246
2016,Ryan Anderson,PF,26,HOU,72,72,940,2116,13.5,0.583,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.118,1.8,-2.6,-0.8,0.6,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,287,74,36,16,55,142,979
2016,Giannis Antetokounmpo,SF,20,MIL,80,80,1759,2845,26.1,0.599,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,609,473,147,172,234,246,1832
2016,Carmelo Anthony,SF,30,NYK,74,74,1593,2538,17.9,0.535,2.6,15.9,9.3,14.5,1.2,1.1,9,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,374,379,232,67,39,153,198,1659
